Date,t_mean,Temperature,Humidity,heater_onOff,T_set,is_sitting,T00_is_chair,T01_is_chair,T02_is_chair,PID Output,consumption
19.48.2021 21:48:57,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.8011976047904192
19.49.2021 21:49:02,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.7709302325581393
19.49.2021 21:49:07,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.742372881355932
19.49.2021 21:49:12,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.7153846153846155
19.49.2021 21:49:17,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.6898395721925135
19.49.2021 21:49:22,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.665625
19.49.2021 21:49:27,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.642639593908629
19.49.2021 21:49:32,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.620792079207921
19.49.2021 21:49:37,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.6
19.49.2021 21:49:42,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.5801886792452833
19.49.2021 21:49:47,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.561290322580645
19.49.2021 21:49:52,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.5432432432432432
19.49.2021 21:49:57,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.5259911894273124
19.50.2021 21:50:02,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.5094827586206896
19.50.2021 21:50:07,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.4936708860759493
19.50.2021 21:50:13,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.478512396694215
19.50.2021 21:50:18,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.4639676113360327
19.50.2021 21:50:23,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.45
19.50.2021 21:50:28,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.4365758754863815
19.50.2021 21:50:33,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.4236641221374047
