Date,t_mean,Temperature,Humidity,heater_onOff,T_set,is_sitting,T00_is_chair,T01_is_chair,T02_is_chair,PID Output,consumption
23.32.2021 12:32:47,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
23.32.2021 12:32:52,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
23.32.2021 12:32:57,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0
23.33.2021 12:33:22,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0.0
23.33.2021 12:33:47,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0.0
23.34.2021 12:34:12,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0.0
23.34.2021 12:34:37,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0.0
23.35.2021 12:35:02,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0.0
23.35.2021 12:35:28,32.8,22.50,20.00,1,40.00,0,50.70,23.90,23.80,19.00,0.0
